ip,date,time,cik,accession,extention,code,size,norefer,noagent,find,browser
66.180.170.jbf,12/31/2006,00:00:28,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:29,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:29,1063561,0001179110-06-024474,.txt,200,3430,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:30,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:30,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:31,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:31,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:32,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:33,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:33,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:49,1139812,0001127602-06-002999,form4.xml,200,14180,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:50,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:51,1108524,0001219119-06-000470,.txt,200,3439,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:51,1108524,0001219119-06-000470,edgardoc.xml,200,30368,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:52,1104734,0001328715-06-000039,primary_doc.xml,200,5897,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:52,1001258,0001125282-06-008176,.txt,200,3317,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:53,319201,0001209191-06-067486,bpa26163_bpa1jk.xml,200,19053,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:53,319201,0001209191-06-067486,.txt,200,3400,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:54,1108699,0001019687-06-003189,edgar.xml,200,5375,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:55,1288776,0001181431-06-072561,rrd141054.xml,200,11790,1,0,0,lin
66.180.170.jbf,12/31/2006,00:00:55,1288776,0001181431-06-072561,.txt,200,3413,1,0,0,lin
